snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
76,152000,-1.158524e+08,-0.7628,-1.495102e+08,-0.9844,2,8.756946e-21,0.0770,4.3509
77,154000,-1.133800e+08,-0.7465,-1.473800e+08,-0.9704,2,8.312432e-21,0.0808,3.5037
78,156000,-1.109075e+08,-0.7302,-1.452351e+08,-0.9562,2,8.832408e-21,0.0746,3.4740
79,158000,-1.084350e+08,-0.7140,-1.431041e+08,-0.9422,2,8.616486e-21,0.0788,3.8469
80,160000,-1.059626e+08,-0.6977,-1.409999e+08,-0.9284,2,8.533698e-21,0.0805,2.9231
81,162000,-1.034901e+08,-0.6814,-1.388437e+08,-0.9142,2,8.689043e-21,0.0778,3.9355
82,164000,-1.010176e+08,-0.6651,-1.367322e+08,-0.9003,2,9.035497e-21,0.0766,4.1743
83,166000,-9.854516e+07,-0.6488,-1.345946e+08,-0.8862,2,8.822305e-21,0.0777,3.5758
84,168000,-9.607269e+07,-0.6326,-1.324556e+08,-0.8721,2,8.874875e-21,0.0771,3.7108
85,170000,-9.360022e+07,-0.6163,-1.303094e+08,-0.8580,2,9.007809e-21,0.0777,4.1905
86,172000,-9.112775e+07,-0.6000,-1.281333e+08,-0.8436,2,8.971459e-21,0.0794,3.6162
87,174000,-8.865529e+07,-0.5837,-1.259815e+08,-0.8295,2,9.037629e-21,0.0771,3.1321
88,176000,-8.618282e+07,-0.5674,-1.238466e+08,-0.8154,2,9.163900e-21,0.0765,4.1332
89,178000,-8.371035e+07,-0.5512,-1.216900e+08,-0.8012,2,9.209346e-21,0.0755,4.0084
90,180000,-8.123788e+07,-0.5349,-1.195596e+08,-0.7872,2,9.492974e-21,0.0736,3.8940
91,182000,-7.876542e+07,-0.5186,-1.174103e+08,-0.7730,2,9.142954e-21,0.0780,3.6231
92,184000,-7.629294e+07,-0.5023,-1.152732e+08,-0.7590,2,9.398267e-21,0.0751,3.7190
93,186000,-7.382048e+07,-0.4860,-1.131131e+08,-0.7448,2,9.078881e-21,0.0797,4.1081
94,188000,-7.134801e+07,-0.4698,-1.109708e+08,-0.7306,2,9.129004e-21,0.0780,3.8777
95,190000,-6.887554e+07,-0.4535,-1.088262e+08,-0.7165,2,9.325854e-21,0.0772,3.6834
96,192000,-6.640307e+07,-0.4372,-1.066808e+08,-0.7024,2,9.287156e-21,0.0784,3.3944
97,194000,-6.393060e+07,-0.4209,-1.045476e+08,-0.6884,2,9.430999e-21,0.0780,3.9427
98,196000,-6.145814e+07,-0.4046,-1.023919e+08,-0.6742,2,9.613084e-21,0.0757,3.6491
99,198000,-5.898567e+07,-0.3884,-1.002318e+08,-0.6599,2,9.202921e-21,0.0797,3.6685
100,200000,-5.651320e+07,-0.3721,-9.811874e+07,-0.6460,2,9.654094e-21,0.0777,3.9590
101,202000,-5.404073e+07,-0.3558,-9.598620e+07,-0.6320,2,9.733996e-21,0.0757,4.1167
102,204000,-5.156826e+07,-0.3395,-9.381788e+07,-0.6177,2,9.483240e-21,0.0778,3.4995
103,206000,-4.909580e+07,-0.3233,-9.162454e+07,-0.6033,2,9.664420e-21,0.0767,3.9087
104,208000,-4.662333e+07,-0.3070,-8.946964e+07,-0.5891,2,9.649408e-21,0.0775,4.0227
105,210000,-4.415086e+07,-0.2907,-8.730822e+07,-0.5749,2,9.812522e-21,0.0764,3.9674
106,212000,-4.167839e+07,-0.2744,-8.518091e+07,-0.5608,2,9.609759e-21,0.0777,3.9543
107,214000,-3.920592e+07,-0.2581,-8.304053e+07,-0.5468,2,9.786515e-21,0.0790,3.9551
108,216000,-3.673346e+07,-0.2419,-8.089676e+07,-0.5326,2,9.917251e-21,0.0779,3.8265
109,218000,-3.426099e+07,-0.2256,-7.875774e+07,-0.5186,2,9.995627e-21,0.0770,3.3088
110,220000,-3.178852e+07,-0.2093,-7.661065e+07,-0.5044,2,9.801240e-21,0.0788,3.3430
111,222000,-2.931605e+07,-0.1930,-7.446998e+07,-0.4903,2,9.980951e-21,0.0771,4.0266
112,224000,-2.684358e+07,-0.1767,-7.231176e+07,-0.4761,2,9.940733e-21,0.0777,3.4766
113,226000,-2.437112e+07,-0.1605,-7.018303e+07,-0.4621,2,1.009237e-20,0.0774,3.7425
114,228000,-2.189865e+07,-0.1442,-6.803043e+07,-0.4479,2,1.007599e-20,0.0793,3.3821
115,230000,-1.942618e+07,-0.1279,-6.583287e+07,-0.4335,2,1.008754e-20,0.0778,3.8457
116,232000,-1.695371e+07,-0.1116,-6.369234e+07,-0.4194,2,1.021272e-20,0.0772,3.7288
117,234000,-1.448124e+07,-0.0953,-6.151814e+07,-0.4050,2,1.025040e-20,0.0792,3.5307
