snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
106,212000,-6.075200e+08,-4.0000,-6.194864e+08,-4.0788,1,2.269775e-21,0.0883,1.0000
107,214000,-6.075200e+08,-4.0000,-6.195380e+08,-4.0791,1,2.269476e-21,0.0883,1.0000
108,216000,-6.075200e+08,-4.0000,-6.195860e+08,-4.0794,1,2.269239e-21,0.0883,1.0000
109,218000,-6.075200e+08,-4.0000,-6.196413e+08,-4.0798,1,2.268881e-21,0.0883,1.0000
110,220000,-6.075200e+08,-4.0000,-6.196870e+08,-4.0801,1,2.268622e-21,0.0883,1.0000
111,222000,-6.075200e+08,-4.0000,-6.197417e+08,-4.0805,1,2.268324e-21,0.0883,1.0000
112,224000,-6.075200e+08,-4.0000,-6.197743e+08,-4.0807,1,2.268147e-21,0.0883,1.0000
113,226000,-6.075200e+08,-4.0000,-6.198453e+08,-4.0812,1,2.267723e-21,0.0883,1.0000
114,228000,-6.075200e+08,-4.0000,-6.198906e+08,-4.0814,1,2.267486e-21,0.0883,1.0000
115,230000,-6.075200e+08,-4.0000,-6.198872e+08,-4.0814,1,2.267481e-21,0.0883,1.0000
116,232000,-6.075200e+08,-4.0000,-6.199484e+08,-4.0818,1,2.267112e-21,0.0883,1.0000
117,234000,-6.075200e+08,-4.0000,-6.199673e+08,-4.0820,1,2.267078e-21,0.0883,1.0000
118,236000,-6.075200e+08,-4.0000,-6.199989e+08,-4.0822,1,2.266872e-21,0.0883,1.0000
119,238000,-6.075200e+08,-4.0000,-6.200525e+08,-4.0825,1,2.266535e-21,0.0883,1.0000
120,240000,-6.075200e+08,-4.0000,-6.200998e+08,-4.0828,1,2.266270e-21,0.0883,1.0000
121,242000,-6.075200e+08,-4.0000,-6.201349e+08,-4.0831,1,2.266089e-21,0.0883,1.0000
122,244000,-6.075200e+08,-4.0000,-6.201412e+08,-4.0831,1,2.266096e-21,0.0883,1.0000
123,246000,-6.075200e+08,-4.0000,-6.201997e+08,-4.0835,1,2.265699e-21,0.0883,1.0000
124,248000,-6.075200e+08,-4.0000,-6.202520e+08,-4.0838,1,2.265429e-21,0.0883,1.0000
125,250000,-6.075200e+08,-4.0000,-6.202684e+08,-4.0839,1,2.265374e-21,0.0883,1.0000
126,252000,-6.075200e+08,-4.0000,-6.203084e+08,-4.0842,1,2.265115e-21,0.0883,1.0000
127,254000,-6.075200e+08,-4.0000,-6.203313e+08,-4.0844,1,2.264966e-21,0.0883,1.0000
128,256000,-6.075200e+08,-4.0000,-6.203953e+08,-4.0848,1,2.264607e-21,0.0883,1.0000
129,258000,-6.075200e+08,-4.0000,-6.204312e+08,-4.0850,1,2.264401e-21,0.0883,1.0000
130,260000,-6.075200e+08,-4.0000,-6.204463e+08,-4.0851,1,2.264342e-21,0.0883,1.0000
131,262000,-6.075200e+08,-4.0000,-6.204808e+08,-4.0853,1,2.264160e-21,0.0883,1.0000
132,264000,-6.075200e+08,-4.0000,-6.205030e+08,-4.0855,1,2.264037e-21,0.0883,1.0000
133,266000,-6.075200e+08,-4.0000,-6.205317e+08,-4.0857,1,2.263879e-21,0.0883,1.0000
134,268000,-6.075200e+08,-4.0000,-6.205485e+08,-4.0858,1,2.263751e-21,0.0883,1.0000
135,270000,-6.075200e+08,-4.0000,-6.205720e+08,-4.0859,1,2.263634e-21,0.0883,1.0000
