snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
127,254000,4.453966e+08,2.9326,3.670132e+08,2.4165,2,1.806013e-20,0.0736,3.6426
128,256000,4.429241e+08,2.9163,3.638833e+08,2.3959,2,1.780897e-20,0.0788,3.9628
129,258000,4.404516e+08,2.9000,3.607887e+08,2.3755,2,1.790843e-20,0.0731,3.8997
130,260000,4.379792e+08,2.8837,3.577451e+08,2.3554,2,1.840473e-20,0.0727,3.2207
131,262000,4.355067e+08,2.8674,3.546677e+08,2.3352,2,1.843628e-20,0.0839,3.5668
132,264000,4.330342e+08,2.8512,3.516190e+08,2.3151,2,1.797161e-20,0.0845,3.8406
133,266000,4.305618e+08,2.8349,3.485905e+08,2.2952,2,1.764683e-20,0.0736,3.6963
134,268000,4.280893e+08,2.8186,3.455859e+08,2.2754,2,1.772861e-20,0.0786,3.6908
135,270000,4.256168e+08,2.8023,3.426083e+08,2.2558,2,1.781476e-20,0.0791,3.7383
136,272000,4.231444e+08,2.7860,3.396080e+08,2.2360,2,1.774545e-20,0.0838,3.5285
137,274000,4.206719e+08,2.7698,3.366259e+08,2.2164,2,1.842877e-20,0.0817,3.5827
138,276000,4.181994e+08,2.7535,3.336825e+08,2.1970,2,1.793122e-20,0.0758,3.9748
139,278000,4.157269e+08,2.7372,3.307258e+08,2.1775,2,1.760397e-20,0.0787,3.7410
140,280000,4.132545e+08,2.7209,3.278031e+08,2.1583,2,1.767212e-20,0.0751,3.7258
141,282000,4.107820e+08,2.7046,3.248838e+08,2.1391,2,1.765948e-20,0.0791,3.2405
142,284000,4.083095e+08,2.6884,3.219831e+08,2.1200,2,1.748074e-20,0.0738,3.7742
143,286000,4.058371e+08,2.6721,3.190903e+08,2.1009,2,1.763282e-20,0.0745,3.8769
144,288000,4.033646e+08,2.6558,3.161995e+08,2.0819,2,1.736032e-20,0.0780,4.2196
145,290000,4.008921e+08,2.6395,3.133230e+08,2.0630,2,1.723757e-20,0.0806,3.5853
146,292000,3.984197e+08,2.6233,3.104408e+08,2.0440,2,1.749218e-20,0.0780,3.5806
147,294000,3.959472e+08,2.6070,3.075806e+08,2.0252,2,1.737551e-20,0.0750,3.5240
148,296000,3.934748e+08,2.5907,3.047125e+08,2.0063,2,1.723619e-20,0.0743,3.4064
149,298000,3.910023e+08,2.5744,3.019132e+08,1.9878,2,1.737884e-20,0.0777,4.1667
150,300000,3.885298e+08,2.5581,2.990833e+08,1.9692,2,1.719670e-20,0.0806,3.9156
151,302000,3.860573e+08,2.5419,2.962640e+08,1.9506,2,1.716015e-20,0.0733,4.3313
152,304000,3.835849e+08,2.5256,2.934493e+08,1.9321,2,1.716666e-20,0.0812,3.6556
153,306000,3.811124e+08,2.5093,2.906514e+08,1.9137,2,1.759408e-20,0.0788,4.1428
154,308000,3.786399e+08,2.4930,2.878448e+08,1.8952,2,1.642678e-20,0.0784,3.7678
155,310000,3.761675e+08,2.4767,2.850870e+08,1.8771,2,1.670277e-20,0.0800,3.7494
156,312000,3.736950e+08,2.4605,2.823296e+08,1.8589,2,1.681250e-20,0.0755,3.5626
157,314000,3.712225e+08,2.4442,2.795678e+08,1.8407,2,1.665913e-20,0.0731,3.6728
158,316000,3.687500e+08,2.4279,2.768135e+08,1.8226,2,1.638986e-20,0.0741,3.5514
159,318000,3.662776e+08,2.4116,2.740836e+08,1.8046,2,1.621202e-20,0.0720,3.8211
160,320000,3.638051e+08,2.3953,2.713727e+08,1.7868,2,1.667669e-20,0.0787,3.3484
161,322000,3.613326e+08,2.3791,2.686392e+08,1.7688,2,1.663986e-20,0.0794,3.6394
162,324000,3.588602e+08,2.3628,2.659128e+08,1.7508,2,1.663855e-20,0.0800,3.6163
163,326000,3.563877e+08,2.3465,2.632281e+08,1.7331,2,1.624375e-20,0.0759,3.5001
164,328000,3.539153e+08,2.3302,2.605443e+08,1.7155,2,1.653204e-20,0.0822,3.3262
165,330000,3.514428e+08,2.3140,2.578824e+08,1.6979,2,1.596645e-20,0.0787,3.5797
166,332000,3.489703e+08,2.2977,2.551779e+08,1.6801,2,1.598370e-20,0.0783,3.6532
167,334000,3.464979e+08,2.2814,2.525182e+08,1.6626,2,1.617729e-20,0.0755,3.3229
168,336000,3.440254e+08,2.2651,2.498913e+08,1.6453,2,1.651792e-20,0.0793,3.6074
169,338000,3.415529e+08,2.2488,2.472037e+08,1.6276,2,1.610730e-20,0.0770,3.4393
170,340000,3.390804e+08,2.2326,2.445583e+08,1.6102,2,1.592155e-20,0.0798,3.0901
171,342000,3.366080e+08,2.2163,2.419285e+08,1.5929,2,1.646740e-20,0.0796,4.1546
172,344000,3.341355e+08,2.2000,2.392830e+08,1.5755,2,1.629260e-20,0.0768,3.3433
173,346000,3.316630e+08,2.1837,2.366505e+08,1.5581,2,1.557518e-20,0.0758,3.9223
174,348000,3.291906e+08,2.1674,2.340504e+08,1.5410,2,1.603750e-20,0.0802,3.4280
175,350000,3.267181e+08,2.1512,2.314213e+08,1.5237,2,1.601289e-20,0.0801,3.6229
176,352000,3.242456e+08,2.1349,2.288414e+08,1.5067,2,1.526687e-20,0.0770,3.9156
177,354000,3.217732e+08,2.1186,2.262374e+08,1.4896,2,1.539875e-20,0.0812,3.5385
178,356000,3.193007e+08,2.1023,2.236978e+08,1.4729,2,1.582431e-20,0.0784,3.4152
179,358000,3.168282e+08,2.0860,2.211402e+08,1.4560,2,1.563356e-20,0.0802,3.5446
180,360000,3.143558e+08,2.0698,2.185805e+08,1.4392,2,1.553547e-20,0.0773,3.5216
181,362000,3.118833e+08,2.0535,2.160208e+08,1.4223,2,1.559987e-20,0.0789,3.7490
182,364000,3.094108e+08,2.0372,2.134603e+08,1.4055,2,1.570088e-20,0.0802,3.4975
183,366000,3.069384e+08,2.0209,2.109601e+08,1.3890,2,1.508796e-20,0.0785,3.3434
184,368000,3.044659e+08,2.0046,2.084297e+08,1.3723,2,1.551429e-20,0.0814,3.4359
185,370000,3.019934e+08,1.9884,2.059019e+08,1.3557,2,1.557231e-20,0.0799,3.9082
186,372000,2.995210e+08,1.9721,2.033853e+08,1.3391,2,1.522219e-20,0.0783,4.4335
187,374000,2.970485e+08,1.9558,2.008501e+08,1.3224,2,1.523335e-20,0.0787,3.5985
188,376000,2.945760e+08,1.9395,1.983525e+08,1.3060,2,1.533994e-20,0.0747,3.4326
189,378000,2.921036e+08,1.9233,1.958722e+08,1.2897,2,1.574979e-20,0.0810,3.4580
190,380000,2.896311e+08,1.9070,1.933733e+08,1.2732,2,1.501037e-20,0.0769,3.5379
